Date,Open,High,Low,Close,Adj Close,Volume
2014-07-31,179.350006,179.500000,176.960007,176.960007,154.806229,2430500
2014-08-01,176.520004,177.619995,175.649994,176.529999,154.430054,3398000
2014-08-04,176.809998,178.110001,176.070007,177.770004,155.514816,2212000
2014-08-05,177.039993,177.479996,175.399994,175.970001,153.940109,1251300
2014-08-06,175.199997,176.820007,175.179993,176.080002,154.036423,1185800
2014-08-07,176.899994,177.039993,174.699997,175.130005,153.205292,1527100
2014-08-08,175.490005,177.270004,175.100006,177.160004,154.981201,1209900
2014-08-11,177.869995,178.470001,177.610001,177.660004,155.418640,1191200
2014-08-12,177.470001,177.990005,176.899994,177.449997,155.234848,513900
2014-08-13,178.149994,178.830002,177.869995,178.699997,156.328354,781600
2014-08-14,178.919998,179.479996,178.770004,179.479996,157.010712,842000
2014-08-15,180.149994,180.300003,178.179993,179.429993,156.966995,1694300
2014-08-18,180.460007,181.029999,180.339996,180.919998,158.270477,1039100
2014-08-19,181.399994,182.029999,181.229996,181.880005,159.110275,583000
2014-08-20,181.660004,182.610001,181.649994,182.380005,159.547684,1507800
2014-08-21,182.580002,183.169998,182.419998,182.899994,160.002548,756600
2014-08-22,182.800003,183.089996,182.240005,182.610001,159.748886,656500
2014-08-25,183.539993,183.860001,183.270004,183.559998,160.579956,1097200
2014-08-26,183.720001,184.169998,183.649994,183.710007,160.711197,749500
2014-08-27,183.809998,183.899994,183.339996,183.679993,160.684952,602600
2014-08-28,183.020004,183.619995,182.850006,183.539993,160.562439,447700
2014-08-29,183.830002,184.059998,183.229996,183.990005,160.956161,617200
2014-09-02,184.300003,184.300003,183.270004,183.940002,160.912369,553800
2014-09-03,184.649994,184.679993,183.589996,183.860001,160.842422,627600
2014-09-04,184.119995,184.820007,183.100006,183.559998,160.579956,536700
2014-09-05,183.529999,184.470001,182.880005,184.440002,161.349823,502300
2014-09-08,184.240005,184.460007,183.399994,183.970001,160.938568,635900
2014-09-09,183.789993,183.880005,182.410004,182.779999,159.897598,515300
2014-09-10,182.889999,183.550003,182.270004,183.500000,160.527481,849800
2014-09-11,182.750000,183.699997,182.610001,183.669998,160.676224,525700
2014-09-12,183.490005,183.509995,182.080002,182.580002,159.722641,724000
2014-09-15,182.639999,182.740005,181.889999,182.460007,159.617661,1021700
2014-09-16,182.110001,184.119995,182.000000,183.820007,160.807404,565100
2014-09-17,184.110001,184.919998,183.199997,184.080002,161.034836,975000
2014-09-18,184.649994,185.059998,184.429993,185.039993,161.874680,740000
2014-09-19,185.639999,185.839996,184.580002,184.860001,161.717209,964000
2014-09-22,183.699997,183.740005,182.229996,182.559998,160.465546,836700
2014-09-23,181.949997,182.699997,181.509995,181.529999,159.560196,752200
2014-09-24,181.619995,183.070007,181.119995,182.990005,160.843521,968500
2014-09-25,182.500000,182.520004,179.990005,180.050003,158.259323,1603000
2014-09-26,180.360001,181.880005,180.130005,181.500000,159.533768,916900
2014-09-29,179.929993,181.449997,179.770004,181.139999,159.217422,1482800
2014-09-30,181.300003,181.809998,180.289993,180.589996,158.733963,767700
2014-10-01,180.339996,180.419998,177.809998,178.220001,156.650818,2380200
2014-10-02,178.050003,178.830002,176.399994,178.210007,156.642044,1263800
2014-10-03,179.479996,180.550003,178.880005,180.199997,158.391174,1217400
2014-10-06,180.940002,181.179993,179.360001,179.979996,158.197800,1307000
2014-10-07,179.050003,179.449997,177.199997,177.220001,155.771820,930600
2014-10-08,177.330002,180.539993,176.380005,180.320007,158.496658,1897500
2014-10-09,180.000000,180.220001,176.600006,176.679993,155.297180,1428600
2014-10-10,176.649994,177.550003,174.660004,174.699997,153.556824,2469900
2014-10-13,174.630005,175.250000,171.729996,171.830002,151.034149,2109200
2014-10-14,172.729996,174.020004,171.500000,172.110001,151.280289,2431300
2014-10-15,169.800003,171.300003,166.850006,170.830002,150.155197,5460300
2014-10-16,167.820007,171.949997,167.679993,170.720001,150.058533,4452600
2014-10-17,172.729996,173.979996,172.039993,172.830002,151.913116,2259400
2014-10-20,172.529999,174.600006,172.449997,174.529999,153.407349,1379400
2014-10-21,175.779999,178.039993,175.589996,177.919998,156.387115,2884200
2014-10-22,178.289993,178.720001,176.610001,176.710007,155.323578,2374200
2014-10-23,178.449997,179.850006,178.169998,178.740005,157.107880,1812400
2014-10-24,179.029999,180.169998,178.360001,180.080002,158.285751,1152600
2014-10-27,179.509995,180.130005,178.869995,179.850006,158.083527,1476000
2014-10-28,180.490005,181.940002,180.399994,181.919998,159.902985,1330000
2014-10-29,182.029999,182.580002,180.470001,181.710007,159.718430,1600700
2014-10-30,181.169998,183.330002,181.050003,182.860001,160.729263,1588900
2014-10-31,185.020004,185.050003,184.100006,184.929993,162.548706,1946100
2014-11-03,185.199997,185.619995,184.600006,185.039993,162.645401,2270000
2014-11-04,184.559998,184.850006,183.449997,184.380005,162.065292,1639400
2014-11-05,185.740005,185.779999,184.740005,185.589996,163.128815,1826500
2014-11-06,185.570007,186.380005,184.899994,186.339996,163.788147,1758600
2014-11-07,186.339996,186.679993,185.800003,186.500000,163.928711,1396400
2014-11-10,186.479996,187.100006,186.270004,187.059998,164.420914,1876400
2014-11-11,187.139999,187.339996,186.779999,187.240005,164.579132,1031600
2014-11-12,186.490005,187.279999,186.460007,187.089996,164.447327,2742900
2014-11-13,187.240005,187.839996,186.380005,187.259995,164.596710,1163600
2014-11-14,187.190002,187.529999,186.850006,187.330002,164.658234,1464500
2014-11-17,186.929993,187.589996,186.759995,187.429993,164.746155,584600
